message,timestamp,severity,tags,attributes
,2026-04-27T07:03:45.496632482Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
[35m[Region: asia-southeast1][0m,2026-04-27T07:03:48.314469034Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
[35m=========================,2026-04-27T07:03:48.321111439Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
Using Detected Dockerfile,2026-04-27T07:03:48.321139069Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
=========================,2026-04-27T07:03:48.321144620Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
[0m,2026-04-27T07:03:48.321148726Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
context: c49t-4,2026-04-27T07:03:48.321161723Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
[internal] load build definition from Dockerfile,2026-04-27T07:03:48.491851091Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""digest"":""sha256:ae6d3b9bba94d1aa536e25dde01e87e51b62932aae02c3826ab2d552a81edfed"",""level"":""info"",""source"":""buildkit"",""type"":""vertex""}"
[internal] load build definition from Dockerfile,2026-04-27T07:03:48.491908815Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""completed"":""2026-04-27T07:03:48.487863802Z"",""digest"":""sha256:ae6d3b9bba94d1aa536e25dde01e87e51b62932aae02c3826ab2d552a81edfed"",""level"":""info"",""source"":""buildkit"",""started"":""2026-04-27T07:03:48.487829408Z"",""type"":""vertex""}"
[internal] load build definition from Dockerfile,2026-04-27T07:03:48.491924360Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""digest"":""sha256:ae6d3b9bba94d1aa536e25dde01e87e51b62932aae02c3826ab2d552a81edfed"",""level"":""info"",""source"":""buildkit"",""started"":""2026-04-27T07:03:48.488027742Z"",""type"":""vertex""}"
[internal] load build definition from Dockerfile,2026-04-27T07:03:48.501999931Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""completed"":""2026-04-27T07:03:48.498254165Z"",""digest"":""sha256:ae6d3b9bba94d1aa536e25dde01e87e51b62932aae02c3826ab2d552a81edfed"",""level"":""info"",""source"":""buildkit"",""started"":""2026-04-27T07:03:48.488027742Z"",""type"":""vertex""}"
[internal] load metadata for docker.io/library/eclipse-temurin:21-jre-alpine,2026-04-27T07:03:48.509013679Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""digest"":""sha256:086ea836daea68de122d356fd00a83ed25f9de03f86f12c21859cbfc57a63266"",""level"":""info"",""source"":""buildkit"",""started"":""2026-04-27T07:03:48.501805328Z"",""type"":""vertex""}"
[internal] load metadata for docker.io/library/node:20-alpine,2026-04-27T07:03:48.509051645Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""digest"":""sha256:ccecbba0a2e5c072602481fed7ccd4ede19058d4d7721294b010c0440ce9c682"",""level"":""info"",""source"":""buildkit"",""started"":""2026-04-27T07:03:48.502521551Z"",""type"":""vertex""}"
[internal] load metadata for docker.io/library/eclipse-temurin:21-jdk,2026-04-27T07:03:48.509232472Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""digest"":""sha256:e93b7ad54590f2713210a5b53cfa3b59e8622f6f150bc1181aeb2f958dc763d7"",""level"":""info"",""source"":""buildkit"",""started"":""2026-04-27T07:03:48.504752522Z"",""type"":""vertex""}"
[auth] library/eclipse-temurin:pull token for registry-1.docker.io,2026-04-27T07:03:49.234956535Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""digest"":""sha256:2b293f11d626a6e381da37a2fbf18db37eae7d230cd47d490db3d5da28237661"",""level"":""info"",""source"":""buildkit"",""started"":""2026-04-27T07:03:49.234731737Z"",""type"":""vertex""}"
[auth] library/eclipse-temurin:pull token for registry-1.docker.io,2026-04-27T07:03:49.235008972Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""completed"":""2026-04-27T07:03:49.234787937Z"",""digest"":""sha256:2b293f11d626a6e381da37a2fbf18db37eae7d230cd47d490db3d5da28237661"",""level"":""info"",""source"":""buildkit"",""started"":""2026-04-27T07:03:49.234731737Z"",""type"":""vertex""}"
[internal] load metadata for docker.io/library/node:20-alpine,2026-04-27T07:03:49.261770543Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""completed"":""2026-04-27T07:03:49.257912073Z"",""digest"":""sha256:ccecbba0a2e5c072602481fed7ccd4ede19058d4d7721294b010c0440ce9c682"",""level"":""info"",""source"":""buildkit"",""started"":""2026-04-27T07:03:48.502521551Z"",""type"":""vertex""}"
[internal] load metadata for docker.io/library/eclipse-temurin:21-jre-alpine,2026-04-27T07:03:50.673783657Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""completed"":""2026-04-27T07:03:50.66986408Z"",""digest"":""sha256:086ea836daea68de122d356fd00a83ed25f9de03f86f12c21859cbfc57a63266"",""level"":""info"",""source"":""buildkit"",""started"":""2026-04-27T07:03:48.501805328Z"",""type"":""vertex""}"
[internal] load metadata for docker.io/library/eclipse-temurin:21-jdk,2026-04-27T07:03:50.693276382Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""completed"":""2026-04-27T07:03:50.689507531Z"",""digest"":""sha256:e93b7ad54590f2713210a5b53cfa3b59e8622f6f150bc1181aeb2f958dc763d7"",""level"":""info"",""source"":""buildkit"",""started"":""2026-04-27T07:03:48.504752522Z"",""type"":""vertex""}"
[internal] load .dockerignore,2026-04-27T07:03:50.693631877Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""digest"":""sha256:876e3f6ab06e98d0cbff9032af883836766e4ca79dd54677866d47e35e612bd4"",""level"":""info"",""source"":""buildkit"",""type"":""vertex""}"
[internal] load .dockerignore,2026-04-27T07:03:50.693654132Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""completed"":""2026-04-27T07:03:50.689991366Z"",""digest"":""sha256:876e3f6ab06e98d0cbff9032af883836766e4ca79dd54677866d47e35e612bd4"",""level"":""info"",""source"":""buildkit"",""started"":""2026-04-27T07:03:50.689966835Z"",""type"":""vertex""}"
[internal] load .dockerignore,2026-04-27T07:03:50.693670162Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""digest"":""sha256:876e3f6ab06e98d0cbff9032af883836766e4ca79dd54677866d47e35e612bd4"",""level"":""info"",""source"":""buildkit"",""started"":""2026-04-27T07:03:50.690072227Z"",""type"":""vertex""}"
[internal] load .dockerignore,2026-04-27T07:03:50.702252882Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""completed"":""2026-04-27T07:03:50.698592339Z"",""digest"":""sha256:876e3f6ab06e98d0cbff9032af883836766e4ca79dd54677866d47e35e612bd4"",""level"":""info"",""source"":""buildkit"",""started"":""2026-04-27T07:03:50.690072227Z"",""type"":""vertex""}"
[frontend-build 1/6] FROM docker.io/library/node:20-alpine@sha256:fb4cd12c85ee03686f6af5362a0b0d56d50c58a04632e6c0fb8363f609372293,2026-04-27T07:03:50.706910408Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""digest"":""sha256:9e8035954701ac862750cb29c5dd94fdce7970dbbcd86f0137ae0746eddf6dd0"",""level"":""info"",""source"":""buildkit"",""type"":""vertex""}"
[backend-build 7/9] RUN mkdir -p src/main/resources/static,2026-04-27T07:03:50.706939193Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""digest"":""sha256:46fef04454bf37ff8fbcf528b0493ac7758932201562adc8f16028dce9fc0501"",""inputs"":[""sha256:18e906acc4232bef6b00cc431bdd1c7036bb28e11add385dd7ec3aeb4f682fcf""],""level"":""info"",""source"":""buildkit"",""type"":""vertex""}"
[backend-build 6/9] COPY backend/src ./src,2026-04-27T07:03:50.706948151Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""digest"":""sha256:18e906acc4232bef6b00cc431bdd1c7036bb28e11add385dd7ec3aeb4f682fcf"",""inputs"":[""sha256:f38a3cda2215722527080b7a5e153f6651fbf7ee0c61c15fea83636f9c48a600"",""sha256:b617c64259310d5186bcba8a3b233c2a292d4d94dbf4e06a304c43faf5cf6316""],""level"":""info"",""source"":""buildkit"",""type"":""vertex""}"
[internal] load build context,2026-04-27T07:03:50.706957475Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""digest"":""sha256:b617c64259310d5186bcba8a3b233c2a292d4d94dbf4e06a304c43faf5cf6316"",""level"":""info"",""source"":""buildkit"",""type"":""vertex""}"
[backend-build 4/9] COPY backend/pom.xml .,2026-04-27T07:03:50.706968905Z,info,"{""serviceId"":""90b89084-117d-4c09-a7ae-f50e71167b20"",""deploymentId"":null,""deploymentInstanceId"":null}","{""digest"":""sha256:868f5956cca5174464d3751f64b1077d0aa0400b9313611fb3768ed6061301e1"",""inputs"":[""sha256:2f24dc699152b5ed9996eadc271a79c14b13b621f424f516cb48486d40c4ae5f"",""sha256:b617c64259310d5186bcba8a3b233c2a292d4d94dbf4e06a304c43faf5cf6316""],""level"":""info"",""source"":""buildkit"",""type"":""vertex""}"
